,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school,target
232,14K478_2015,THE HIGH SCHOOL FOR ENTERPRISE BUSINESS AND TECHNO,68.0,2.4,2.36,81.0,4,71.5,72.0,2,1001.0,4.0,36.1,7.5,54.3,56.9,3.3,16.1,2.5,6.9,6.9,28.9,79.4,4,3,4,4,3,88.0,3,67.0,2,3,89.4,90.0,4,95.7,85.0,2,4.8,0
233,14K488_2015,BROOKLYN PREPARATORY HIGH SCHOOL,87.0,2.45,2.25,91.0,4,64.6,90.0,3,494.0,2.4,54.7,3.6,47.6,40.3,0.8,17.6,2.0,5.7,5.7,30.0,61.1,4,3,3,4,3,82.0,3,76.0,3,3,89.9,93.0,0,95.7,95.0,3,4.9,1
234,14K558_2015,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,93.2,2.36,2.29,95.0,4,69.0,92.0,4,595.0,2.4,31.6,4.2,52.3,60.0,0.5,26.6,4.2,8.6,8.6,21.0,69.4,4,3,4,4,3,95.0,4,77.0,3,4,92.2,97.0,4,97.2,96.0,4,6.5,1
235,14K561_2015,WILLIAMSBURG PREPARATORY SCHOOL,90.1,2.55,2.43,93.0,4,67.5,93.0,4,682.0,2.6,16.4,3.2,50.7,69.6,1.2,15.0,10.0,4.7,4.7,27.2,88.1,4,3,4,4,3,86.0,3,80.0,3,4,90.9,86.0,4,96.7,96.0,4,4.5,1
236,14K586_2015,LYONS COMMUNITY SCHOOL,62.3,2.2,2.03,95.0,3,84.3,92.0,4,520.0,1.8,39.8,12.8,66.2,55.8,0.3,21.4,2.4,15.7,15.7,56.5,68.8,3,2,3,3,3,85.0,2,84.0,4,3,79.9,84.0,3,96.9,93.0,4,8.0,0
237,14K610_2015,AUTOMOTIVE HIGH SCHOOL,45.8,2.14,2.1,74.0,2,70.6,56.0,1,383.0,1.6,55.9,7.0,56.9,38.1,9.4,29.2,2.9,7.6,7.6,57.8,64.9,2,2,2,2,2,82.0,2,75.0,0,2,80.5,79.0,2,97.0,72.0,0,3.9,0
238,14K614_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,100.0,2.58,2.32,88.0,4,68.0,83.0,3,380.0,3.3,63.8,2.1,47.5,28.3,0.0,15.8,0.8,6.7,6.7,28.7,50.0,4,3,4,4,4,84.0,3,81.0,3,4,92.2,85.0,3,97.5,93.0,4,7.0,1
239,14K632_2015,FRANCES PERKINS ACADEMY,63.4,2.15,2.06,92.0,3,73.0,94.0,4,142.0,0.7,62.7,5.6,52.8,32.4,0.0,28.9,2.1,13.4,13.4,39.0,42.9,3,2,3,3,2,80.0,2,82.0,3,3,85.2,83.0,3,98.2,92.0,3,2.0,0
240,14K685_2015,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,66.1,2.23,2.1,94.0,4,78.0,89.0,3,245.0,0.0,11.8,15.5,61.2,85.3,0.0,24.5,1.2,6.9,6.9,49.2,81.3,4,3,4,4,4,90.0,4,74.0,3,3,85.2,86.0,3,96.2,95.0,4,4.0,0
241,15K429_2015,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,64.7,2.27,2.13,73.0,2,74.9,67.0,1,250.0,2.4,54.8,7.8,58.4,35.5,0.0,25.9,6.6,5.4,5.4,41.9,75.0,3,2,3,4,3,79.0,2,69.0,1,2,84.5,78.0,3,95.6,76.0,1,1.7,0
242,15K448_2015,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,87.5,2.44,2.18,91.0,4,63.5,87.0,3,685.0,5.8,38.5,3.3,44.3,45.3,0.0,27.5,9.3,7.3,7.3,47.0,62.7,4,4,4,4,4,85.0,4,81.0,3,4,84.6,85.0,3,96.4,93.0,4,0.9,1
243,15K462_2015,JOHN JAY SCHOOL FOR LAW,88.0,2.43,2.22,79.0,3,67.5,77.0,3,351.0,2.0,66.4,2.0,52.1,25.9,0.6,14.0,3.4,8.8,8.8,40.4,76.9,4,4,4,4,4,91.0,4,81.0,3,3,86.0,89.0,3,95.9,90.0,3,5.0,1
244,15K463_2015,SECONDARY SCHOOL FOR JOURNALISM,56.3,2.33,2.14,86.0,3,69.4,86.0,3,285.0,7.4,46.7,12.6,54.4,37.5,0.0,20.7,6.3,9.1,9.1,56.9,75.0,3,2,3,2,2,91.0,2,71.0,2,2,80.2,79.0,2,97.2,88.0,3,0.9,0
245,15K464_2015,PARK SLOPE COLLEGIATE,64.7,2.26,2.17,93.0,4,65.2,92.0,4,423.0,7.9,46.4,10.5,51.6,36.5,0.3,19.1,3.6,6.9,6.9,34.4,71.9,4,3,4,4,4,91.0,4,79.0,3,3,89.1,83.0,3,96.5,92.0,4,11.0,0
246,15K497_2015,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,66.1,2.35,2.27,85.0,4,71.0,79.0,3,466.0,4.2,47.9,9.3,54.1,36.3,3.4,13.5,9.9,8.2,8.2,36.4,56.8,4,3,4,3,4,83.0,3,71.0,2,2,86.7,73.0,2,96.3,80.0,2,2.8,0
247,15K519_2015,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.9,2.31,2.15,70.0,2,69.3,56.0,1,596.0,4.5,63.8,9.1,53.4,25.0,7.9,21.3,4.4,9.2,9.2,45.0,61.1,3,2,2,3,3,80.0,2,75.0,3,3,82.8,79.0,3,96.2,78.0,2,4.8,1
249,15K656_2015,BROOKLYN HIGH SCHOOL OF THE ARTS,89.5,2.61,2.41,72.0,3,58.9,68.0,1,870.0,1.7,70.3,1.3,43.0,22.5,3.0,11.6,2.0,5.4,5.4,25.6,63.5,4,4,4,4,4,81.0,4,69.0,2,3,91.1,75.0,3,97.3,81.0,2,7.0,1
250,15K667_2015,SUNSET PARK HIGH SCHOOL,63.3,2.26,2.2,84.0,4,74.8,82.0,3,1333.0,7.3,8.5,16.4,60.8,77.3,5.2,22.0,6.8,6.6,6.6,36.9,58.6,4,4,4,4,4,83.0,4,74.0,3,3,85.5,84.0,3,96.0,90.0,3,0.8,0
251,15K684_2015,MILLENNIUM BROOKLYN HS,94.7,3.28,2.98,94.0,3,39.3,93.0,4,566.0,9.5,26.0,0.5,23.7,27.2,0.4,11.0,31.1,2.7,2.7,17.3,49.1,3,3,3,3,3,92.0,3,78.0,3,4,93.9,89.0,3,97.5,94.0,4,4.0,1
252,16K393_2015,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,60.7,2.21,1.95,87.0,2,74.4,77.0,2,92.0,1.1,82.6,1.1,60.9,14.1,13.0,34.8,1.1,14.1,14.1,65.0,63.6,2,3,2,3,2,90.0,2,87.0,3,2,78.9,90.0,2,97.2,83.0,2,4.6,0
253,16K455_2015,BOYS AND GIRLS HIGH SCHOOL,50.0,2.14,2.02,81.0,2,76.3,75.0,2,648.0,0.9,87.2,4.9,58.2,8.6,12.7,25.9,1.7,16.5,16.5,60.3,85.4,2,2,2,2,2,86.0,2,81.0,3,2,78.4,82.0,0,96.8,87.0,3,,0
254,16K498_2015,BROOKLYN HS FOR LAW AND TECHNOLOGY,69.7,2.38,2.21,76.0,2,73.0,71.0,2,596.0,2.5,71.1,2.7,59.1,23.8,1.8,17.1,1.2,7.6,7.6,23.1,72.7,3,3,3,4,3,72.0,2,64.0,1,3,90.2,73.0,3,97.1,85.0,2,0.8,0
255,16K594_2015,GOTHAM PROFESSIONAL ARTS ACADEMY,54.7,2.3,2.11,82.0,4,76.8,72.0,2,226.0,0.9,81.9,1.8,58.0,14.6,0.9,23.5,1.3,19.9,19.9,58.5,87.5,4,3,4,4,4,90.0,4,82.0,3,3,77.7,80.0,3,96.3,88.0,3,8.0,0
256,16K688_2015,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,58.3,2.11,2.03,95.0,3,79.5,91.0,4,152.0,5.9,71.7,11.2,61.2,20.4,5.9,30.3,2.0,18.4,18.4,56.0,23.1,3,2,3,3,2,85.0,2,76.0,3,3,80.5,81.0,3,97.4,93.0,3,2.8,0
257,17K122_2015,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL P,57.7,2.49,2.31,86.0,3,59.0,85.0,3,438.0,3.0,85.6,2.1,43.2,9.1,0.5,15.5,0.7,5.3,5.3,18.9,78.6,3,3,3,4,2,94.0,3,76.0,3,3,92.2,83.0,4,98.3,90.0,3,4.0,0
258,17K382_2015,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,50.5,2.22,2.09,76.0,2,68.4,68.0,2,505.0,1.7,84.6,6.4,52.4,12.3,0.8,19.6,0.8,9.0,9.0,41.4,76.7,3,3,3,3,3,79.0,2,70.0,2,3,82.6,75.0,2,96.6,77.0,1,5.0,0
259,17K408_2015,ACADEMY OF HOSPITALITY AND TOURISM,61.3,2.14,1.98,86.0,3,64.9,89.0,3,285.0,3.5,84.6,15.8,48.1,10.2,1.8,23.2,1.1,14.7,14.7,41.7,77.8,3,2,3,3,2,80.0,2,67.0,2,2,82.5,74.0,3,96.6,87.0,3,9.0,0
260,17K524_2015,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,67.3,1.79,2.02,90.0,4,70.4,80.0,2,414.0,18.4,29.0,87.4,47.8,38.9,0.5,7.2,13.3,18.4,18.4,35.2,87.5,4,4,4,3,4,80.0,4,82.0,3,3,87.1,89.0,3,95.9,91.0,3,5.4,0
261,17K528_2015,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,55.7,2.22,2.05,88.0,4,64.2,88.0,4,246.0,1.6,82.1,14.6,43.1,13.0,0.8,15.4,2.8,11.8,11.8,33.1,83.3,4,3,4,4,4,87.0,4,89.0,4,2,87.4,84.0,4,98.1,89.0,3,4.9,0
262,17K531_2015,SCHOOL FOR HUMAN RIGHTS THE,74.0,2.32,2.19,99.0,4,68.7,95.0,4,424.0,1.4,90.7,5.2,50.5,6.5,0.3,17.5,1.0,6.5,6.5,23.5,92.0,3,3,3,3,3,97.0,3,80.0,3,3,91.3,86.0,3,95.8,94.0,4,8.0,1
263,17K533_2015,SCHOOL FOR DEMOCRACY AND LEADERSHIP,54.8,2.25,2.14,72.0,2,65.3,76.0,2,319.0,0.8,87.6,5.4,43.4,7.4,1.9,23.6,2.3,14.0,14.0,54.3,74.1,3,2,3,4,2,84.0,2,72.0,2,2,79.9,77.0,3,96.8,85.0,2,3.8,0
264,17K537_2015,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,76.8,2.2,2.05,89.0,4,65.9,84.0,3,384.0,2.3,85.4,7.3,52.1,8.9,0.8,23.4,2.1,9.9,9.9,35.4,85.7,4,3,4,4,3,86.0,3,81.0,3,4,88.6,80.0,4,96.9,90.0,3,10.3,1
265,17K539_2015,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,70.1,2.23,2.06,86.0,3,64.0,84.0,3,445.0,2.7,82.5,8.5,48.5,10.6,0.7,19.3,2.0,8.3,8.3,36.3,73.9,3,2,3,3,3,88.0,3,78.0,3,3,86.5,76.0,3,97.1,86.0,3,3.8,0
266,17K543_2015,SCIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH,95.8,3.01,2.85,96.0,4,53.6,91.0,4,516.0,4.0,87.1,0.0,39.0,6.4,0.0,4.0,0.9,2.8,2.8,13.0,75.9,4,3,4,4,3,97.0,4,90.0,4,3,95.5,89.0,4,97.4,94.0,4,7.0,1
267,17K544_2015,INTERNATIONAL ARTS BUSINESS SCHOOL,70.6,2.71,2.61,90.0,0,48.2,82.0,0,12.0,8.3,75.0,0.0,33.3,16.7,0.0,8.3,0.0,0.0,0.0,,100.0,3,2,2,3,2,100.0,0,84.0,0,0,93.7,100.0,0,96.9,87.0,0,3.3,0
268,17K546_2015,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,92.7,2.84,2.7,94.0,3,61.5,90.0,4,454.0,5.3,75.8,1.5,48.0,17.4,0.4,10.1,1.1,4.6,4.6,19.0,96.0,3,3,3,3,3,88.0,3,75.0,3,4,92.4,88.0,3,95.5,94.0,4,2.4,1
269,17K547_2015,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,62.9,2.29,2.18,86.0,3,67.2,84.0,3,453.0,5.3,80.1,7.1,50.6,12.6,1.1,16.1,1.3,12.1,12.1,23.6,74.2,3,3,4,3,3,83.0,3,76.0,3,3,91.0,78.0,3,96.9,91.0,3,12.0,0
270,17K548_2015,BROOKLYN SCHOOL FOR MUSIC & THEATRE,77.7,2.3,2.11,77.0,2,70.8,78.0,2,386.0,0.8,82.6,0.8,55.2,15.8,0.5,16.1,0.8,12.7,12.7,32.1,74.1,3,2,3,3,3,82.0,2,77.0,3,3,88.7,75.0,2,97.0,80.0,2,8.0,1
271,17K590_2015,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,95.4,3.09,2.97,89.0,3,46.4,80.0,3,1271.0,2.9,90.9,0.6,31.2,3.3,0.5,4.2,0.6,2.8,2.8,15.1,81.7,3,4,4,4,3,87.0,4,81.0,0,3,94.4,79.0,3,97.0,85.0,0,13.9,1
272,17K600_2015,CLARA BARTON HIGH SCHOOL,62.7,2.37,2.21,74.0,2,62.6,68.0,2,1499.0,1.8,89.5,9.5,47.4,5.7,8.0,16.8,0.9,8.1,8.1,31.2,89.8,3,2,2,3,2,83.0,2,70.0,2,3,88.0,73.0,2,97.1,79.0,2,8.4,0
274,17K751_2015,ACADEMY FOR HEALTH CAREERS,70.4,2.39,2.24,87.0,3,70.6,86.0,3,373.0,1.6,85.5,2.7,54.2,8.8,3.2,13.9,0.8,13.1,13.1,48.9,50.0,3,2,2,3,2,78.0,2,72.0,2,2,84.4,76.0,2,96.3,89.0,3,5.0,0
275,18K563_2015,IT TAKES A VILLAGE ACADEMY,87.5,2.39,2.24,93.0,4,58.0,92.0,4,566.0,0.5,90.3,19.6,40.3,5.7,0.7,12.9,1.1,8.1,8.1,19.7,81.6,4,3,4,4,4,93.0,4,88.0,4,4,91.8,82.0,4,96.8,91.0,3,8.0,1
276,18K566_2015,BROOKLYN GENERATION SCHOOL,64.6,2.24,2.07,91.0,3,60.7,91.0,4,286.0,1.7,85.0,8.0,46.5,8.7,3.8,24.5,1.4,8.7,8.7,24.7,76.0,3,2,3,3,3,89.0,3,75.0,3,2,91.5,83.0,3,96.4,90.0,3,3.8,0
277,18K567_2015,BROOKLYN THEATRE ARTS HIGH SCHOOL,67.7,2.29,2.06,88.0,3,72.5,79.0,3,395.0,0.5,82.0,3.8,59.7,13.2,1.3,18.2,1.8,11.6,11.6,42.8,79.2,3,2,3,3,3,91.0,3,73.0,2,3,84.7,80.0,3,97.0,88.0,3,2.9,0
278,18K569_2015,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,75.9,2.3,2.11,87.0,4,58.6,82.0,3,341.0,1.2,91.2,3.8,40.5,6.7,0.3,20.5,0.3,12.6,12.6,23.3,83.3,4,3,4,4,3,82.0,3,84.0,4,3,90.9,84.0,4,94.0,89.0,3,0.9,1
279,18K576_2015,VICTORY COLLEGIATE HIGH SCHOOL,67.1,2.32,2.14,84.0,4,60.8,79.0,3,331.0,0.9,88.8,1.8,45.6,6.3,0.3,19.9,1.2,9.7,9.7,27.5,47.8,4,4,4,4,4,83.0,4,73.0,2,3,90.9,89.0,4,97.1,91.0,3,8.0,0
280,18K589_2015,ARTS & MEDIA PREPARATORY ACADEMY,48.8,2.29,2.06,75.0,2,75.1,79.0,3,279.0,1.1,82.8,3.9,59.1,12.5,0.7,19.4,1.4,12.5,12.5,53.1,61.9,3,2,2,3,2,80.0,2,74.0,2,2,84.3,79.0,2,97.0,82.0,2,1.0,0
281,18K617_2015,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,75.8,2.2,2.06,73.0,2,60.4,71.0,2,303.0,1.3,85.8,5.9,45.9,9.6,2.3,19.8,2.6,9.2,9.2,37.1,68.0,3,2,3,3,3,73.0,2,71.0,2,3,86.8,85.0,3,95.7,85.0,3,7.0,1
282,18K629_2015,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,56.8,2.21,2.1,71.0,2,58.6,71.0,2,353.0,0.6,90.4,5.9,42.5,8.5,0.6,22.1,0.6,8.8,8.8,43.5,81.5,3,2,3,3,2,70.0,2,74.0,2,3,83.6,79.0,3,95.5,82.0,2,7.0,0
283,18K633_2015,HIGH SCHOOL FOR MEDICAL PROFESSIONS,87.4,2.51,2.34,89.0,4,63.4,87.0,3,432.0,2.8,81.9,2.3,50.2,13.2,0.0,14.1,0.2,5.8,5.8,25.5,67.9,4,3,4,4,3,85.0,3,74.0,3,3,91.8,81.0,3,97.0,87.0,3,1.8,1
284,18K637_2015,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,77.4,2.23,2.1,87.0,4,64.7,91.0,4,308.0,1.6,86.0,7.1,49.7,9.7,1.6,23.1,1.3,14.3,14.3,50.3,52.2,4,3,3,3,3,86.0,3,86.0,4,3,84.6,80.0,3,97.7,91.0,3,3.8,1
285,18K642_2015,URBAN ACTION ACADEMY,51.9,2.22,2.09,88.0,3,60.1,93.0,4,309.0,2.9,79.0,10.7,43.4,12.3,3.9,20.1,4.2,9.1,9.1,51.5,65.2,3,2,2,3,3,85.0,2,80.0,3,3,83.6,80.0,3,,91.0,3,2.0,0
286,19K404_2015,ACADEMY FOR YOUNG WRITERS,71.8,2.58,2.16,85.0,4,70.5,87.0,3,547.0,1.5,73.1,1.0,51.0,21.9,0.0,16.4,1.2,7.2,7.2,37.8,52.5,4,4,4,4,4,71.0,3,75.0,2,2,89.0,78.0,3,96.5,92.0,3,4.9,0
287,19K409_2015,EAST NEW YORK FAMILY ACADEMY,82.4,2.51,2.48,85.0,3,71.6,84.0,3,479.0,2.2,67.6,2.5,51.8,29.5,0.0,14.4,0.4,5.8,5.8,39.9,71.9,3,2,3,3,3,87.0,3,71.0,2,2,88.0,80.0,3,98.2,90.0,3,1.6,1
288,19K502_2015,FDNY  CAPTAIN VERNON A RICHARDS HIGH SCHOOL FOR FI,68.8,2.14,2.03,71.0,2,77.2,73.0,2,324.0,1.2,71.6,4.6,63.0,24.4,3.1,25.9,1.9,11.7,11.7,51.1,76.5,3,3,3,3,3,74.0,3,87.0,3,3,80.6,83.0,3,94.8,83.0,2,7.9,0
289,19K504_2015,HIGH SCHOOL FOR CIVIL RIGHTS,32.7,2.15,1.99,93.0,3,74.1,84.0,3,319.0,0.3,74.0,7.8,53.0,22.9,0.9,28.5,1.9,16.6,16.6,66.6,100.0,2,2,2,2,2,91.0,2,77.0,3,3,75.4,87.0,2,97.0,93.0,4,8.8,0
290,19K507_2015,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,57.5,2.24,2.09,89.0,3,76.3,87.0,3,406.0,0.2,80.8,2.5,62.1,18.2,3.2,20.7,0.5,11.3,11.3,55.6,83.3,3,2,3,3,3,89.0,3,78.0,3,2,81.2,78.0,2,97.1,89.0,3,2.0,0
291,19K510_2015,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,60.2,2.2,2.08,87.0,3,71.0,85.0,3,284.0,2.5,75.7,11.3,53.9,19.0,1.1,23.6,1.4,11.3,11.3,52.4,72.2,3,2,3,3,2,91.0,2,74.0,3,3,81.2,78.0,2,97.6,86.0,3,1.7,0
292,19K583_2015,MULTICULTURAL HIGH SCHOOL,47.8,1.76,1.95,89.0,3,72.8,82.0,3,229.0,0.0,0.0,90.0,49.8,99.6,0.4,2.2,0.4,12.7,12.7,49.8,81.8,3,2,3,3,2,85.0,2,81.0,3,2,84.8,84.0,2,96.6,93.0,4,3.8,0
293,19K615_2015,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,54.6,2.24,2.15,76.0,2,72.4,71.0,2,1093.0,6.1,63.6,4.8,57.1,27.2,6.8,23.6,1.3,7.8,7.8,35.4,86.8,3,2,2,3,3,78.0,2,69.0,2,2,85.6,74.0,3,95.5,83.0,2,1.8,0
294,19K618_2015,ACADEMY OF INNOVATIVE TECHNOLOGY,70.2,2.24,2.1,89.0,3,68.9,88.0,4,413.0,5.3,45.5,9.9,51.6,45.5,2.4,24.2,1.2,8.5,8.5,53.9,71.1,3,3,3,4,3,84.0,3,78.0,3,3,82.3,86.0,3,97.3,94.0,4,7.0,0
295,19K639_2015,BROOKLYN LAB SCHOOL,48.4,2.18,2.04,70.0,2,80.7,70.0,2,334.0,5.4,35.6,17.7,66.5,56.9,0.9,23.4,0.9,13.5,13.5,61.6,52.0,3,2,3,2,2,80.0,2,71.0,2,2,73.6,77.0,2,94.2,77.0,1,3.8,0
296,19K659_2015,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,54.8,2.21,2.04,64.0,2,77.2,56.0,1,330.0,4.5,19.7,20.9,63.3,71.2,0.9,18.8,3.3,10.6,10.6,55.1,69.6,3,2,3,3,3,77.0,2,67.0,1,2,78.3,79.0,2,94.4,74.0,1,2.8,0
297,19K660_2015,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,52.7,2.1,2.0,87.0,3,81.8,81.0,3,506.0,1.0,69.6,5.9,68.0,28.1,17.6,30.0,0.6,13.2,13.2,64.4,95.0,3,3,3,3,3,87.0,3,76.0,3,3,73.4,82.0,2,95.9,90.0,3,6.8,0
298,19K683_2015,THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS WR,81.7,2.34,2.09,92.0,4,76.4,84.0,3,308.0,7.8,60.7,13.6,60.7,26.0,13.0,21.8,4.2,9.4,9.4,47.5,73.1,4,3,3,4,3,89.0,3,79.0,3,4,83.9,84.0,3,96.6,91.0,3,0.4,1
299,20K445_2015,NEW UTRECHT HIGH SCHOOL,72.6,2.42,2.55,86.0,3,67.1,80.0,2,3480.0,38.6,4.0,20.1,51.6,29.0,6.5,16.6,27.6,10.3,10.3,28.5,85.7,3,2,3,3,2,83.0,2,65.0,1,3,88.3,81.0,3,96.6,87.0,3,7.6,0
300,20K485_2015,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,85.7,2.56,2.59,93.0,0,63.6,89.0,3,1329.0,18.0,7.7,6.5,50.0,56.7,4.2,22.1,16.3,2.6,2.6,18.2,70.4,0,0,0,0,0,88.0,0,75.0,3,3,93.3,88.0,0,95.7,93.0,4,1.4,1
301,20K490_2015,FORT HAMILTON HIGH SCHOOL,70.9,2.63,2.69,89.0,4,62.8,81.0,3,4372.0,30.1,4.5,18.3,47.0,29.2,5.9,14.6,34.1,8.7,8.7,17.0,83.7,4,3,4,4,4,88.0,4,64.0,1,3,93.3,81.0,4,96.2,86.0,2,2.8,0
302,20K505_2015,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,56.8,2.34,2.38,89.0,3,71.6,82.0,3,3220.0,40.1,11.5,34.4,51.8,29.3,7.9,13.7,18.6,16.1,16.1,39.9,84.1,3,2,2,3,2,85.0,2,65.0,1,3,85.0,83.0,3,96.2,90.0,3,4.8,0
303,20K609_2015,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,88.1,2.55,2.38,89.0,3,71.0,85.0,3,496.0,46.5,17.5,10.2,60.2,20.4,0.3,13.7,15.0,4.8,4.8,33.1,46.2,3,3,3,3,2,87.0,3,73.0,2,4,90.8,88.0,3,96.7,90.0,3,8.0,1
304,21K337_2015,INTERNATIONAL HS AT LAFAYETTE,74.7,1.73,2.34,85.0,3,68.2,76.0,2,358.0,41.1,8.7,81.0,48.6,24.0,0.8,2.5,25.7,18.4,18.4,28.5,62.5,3,3,3,3,3,84.0,3,71.0,2,3,90.8,85.0,3,97.6,87.0,3,3.8,1
305,21K344_2015,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,80.7,2.49,2.37,88.0,3,60.1,83.0,3,560.0,10.2,22.5,10.5,48.2,22.3,0.2,18.9,43.6,3.9,3.9,43.6,81.3,3,2,3,3,3,84.0,2,74.0,3,3,86.1,83.0,3,96.5,93.0,4,8.6,1
306,21K348_2015,HIGH SCHOOL OF SPORTS MANAGEMENT,68.5,2.2,2.12,88.0,3,70.3,83.0,3,290.0,3.8,72.4,4.1,55.2,16.9,0.3,19.0,5.5,10.3,10.3,53.7,70.0,3,2,2,3,3,88.0,2,79.0,3,2,80.9,84.0,3,96.2,89.0,3,10.0,0
307,21K410_2015,ABRAHAM LINCOLN HIGH SCHOOL,58.9,2.41,2.3,87.0,3,65.8,81.0,3,2341.0,15.1,39.8,13.4,50.4,23.7,6.5,15.4,20.1,6.4,6.4,46.1,77.7,3,2,3,3,2,87.0,2,67.0,2,2,82.8,80.0,2,96.1,84.0,2,10.8,0
308,21K468_2015,KINGSBOROUGH EARLY COLLEGE SCHOOL,93.7,2.8,2.76,98.0,4,56.4,95.0,4,564.0,6.6,25.7,0.9,39.9,24.3,0.0,14.5,42.5,2.9,2.9,26.6,71.4,4,4,4,4,4,94.0,4,72.0,2,3,91.3,77.0,3,96.7,91.0,3,9.0,1
309,21K525_2015,EDWARD R MURROW HIGH SCHOOL,79.1,2.73,2.71,89.0,2,53.5,85.0,3,3968.0,26.6,22.6,7.2,41.1,21.7,5.7,16.9,26.7,3.3,3.3,19.6,91.6,2,2,3,3,3,84.0,2,70.0,2,3,91.5,84.0,3,96.0,92.0,3,3.3,1
310,21K540_2015,JOHN DEWEY HIGH SCHOOL,63.6,2.42,2.5,78.0,2,67.3,75.0,2,2006.0,35.8,28.6,22.6,50.0,20.7,3.3,12.6,13.7,14.1,14.1,25.5,65.4,3,2,3,3,2,85.0,2,65.0,1,3,85.5,79.0,3,96.9,81.0,2,3.3,0
311,21K559_2015,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,93.0,2.37,2.2,98.0,4,67.5,97.0,4,271.0,7.4,51.7,2.2,54.2,26.6,1.5,23.2,13.7,7.0,7.0,37.6,66.7,4,3,4,4,3,97.0,4,94.0,4,4,88.4,89.0,4,97.0,97.0,4,3.8,1
312,21K572_2015,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,79.1,2.39,2.36,97.0,4,63.5,96.0,4,271.0,15.5,17.3,17.3,47.2,42.1,0.4,16.6,23.2,10.0,10.0,43.5,72.7,4,3,4,4,4,95.0,4,74.0,3,4,87.7,90.0,4,97.9,97.0,4,3.9,1
313,21K620_2015,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,57.1,2.22,2.13,88.0,2,66.6,82.0,3,613.0,5.4,68.7,5.5,52.4,18.1,12.9,28.9,6.4,8.0,8.0,40.3,92.9,2,2,2,2,2,90.0,2,77.0,3,2,82.3,77.0,2,96.1,89.0,3,1.7,0
